# star HD number, 32147
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7047.0208,6.13000011444,7.8899994,p
7845.9109,2.71000003815,9.9899998,p
8905.9841,-1.60000002384,8.5200005,p
8991.844,-0.219999998808,9.3500004,p
9304.92152,-1.25999999046,6.6700001,p
9349.7351,-17.9300003052,9.1999998,p
9350.8512,0.340000003576,10.1800003,p
9679.8747,-0.610000014305,4.8600001,l
9769.74902,0.479999989271,1.5599999,l
9793.64746,-7.5,1.7500001,l
10003.0,-6.01000022888,1.87,l
10086.82715,-5.86999988556,2.1600001,l
10089.76074,2.68000006676,1.6,l
10091.74121,-3.78999996185,1.76,l
10325.95927,3.75,1.4,l
10421.86035,0.680000007153,1.7299999,l
10437.84608,-0.170000001788,1.22,l
10502.69702,0.939999997616,1.35,l
10503.65845,-4.28999996185,1.59,l
10504.70606,-5.51000022888,1.65,l
10793.80273,0.829999983311,1.6999999,l
10794.80078,2.73000001907,2.3299999,l
11154.77734,-3.52999997139,3.1199999,l
11534.87402,0.870000004768,2.5599999,l
11887.85429,3.25,2.76,l
13018.79004,4.26000022888,2.45,l
13285.02344,0.740000009537,2.6500001,l
13304.0824523,-4.8628575833,0.5922524,j
13339.9037754,-0.202825099417,0.5170146,j
13368.9584848,-2.59937309011,0.5014039,j
13425.7100442,-1.7735374626,0.4888325,j
13692.9410678,-4.82243399284,0.471776,j
13693.0463627,-6.15590680396,0.4818463,j
13694.1081022,-4.4275175037,0.4845443,j
13694.9501999,-6.66445511135,0.498389,j
13695.9732574,-6.63856039087,0.4730352,j
13696.1118542,-4.56811669263,0.5094729,j
13696.963466,-5.41125453393,0.5002962,j
13724.940888,-2.79141114656,0.5187135,j
13776.8636298,-3.25713565743,0.4964671,j
13982.0988896,-3.61633193376,0.424149,j
14073.79522,-4.34000015259,1.97,l
14084.0396471,-1.29222722216,0.5679348,j
14102.77463,-2.55999994278,2.3900001,l
14138.8668241,-3.93295911687,0.5212981,j
14344.134329,0.220438618531,0.8044473,j
14398.060995,-5.91733664399,0.937543,j
14430.027257,-0.777662671378,0.9665434,j
14454.983449,-1.67884097989,1.0004752,j
14456.031782,-1.61036552268,0.9847466,j
14459.035602,-1.73182294642,1.0524559,j
14460.818183,-0.245148484151,1.0384123,j
14461.8987432,-1.99269112911,0.8246623,j
14544.797593,-2.75244371884,1.0678051,j
14546.734954,0.0110447929501,1.0190158,j
14547.67946,-5.05999994278,1.9800001,l
14721.146389,-0.716350849518,0.9265453,j
14777.9600856,1.67721689572,0.5966517,j
14778.9953964,1.71372409073,0.5923941,j
14780.0415817,1.85350195175,0.5829803,j
14805.913472,-2.41441899224,0.9002838,j
14806.96228,0.386206344399,1.172822,j
14807.913137,-4.39385857669,0.9433791,j
14808.95625,-3.63019331814,0.916946,j
14810.909433,-3.51315807787,0.8945385,j
14839.012682,2.07467931226,0.6451997,j
14864.9614696,-2.17618383835,0.6337199,j
14928.7217468,-0.233525170412,0.5862469,j
15075.1291603,-0.86817090575,0.515564,j
15076.1176964,-0.285837952067,0.5040235,j
15077.1147536,-1.07634803953,0.5003408,j
15078.124208,0.775697188623,0.5219764,j
15083.1215182,-3.01036432576,0.5193929,j
15085.091295,-4.18921730312,0.4753732,j
15111.056689,8.87811077599,1.6894892,j
15136.121585,0.7682542896,1.5533708,j
15172.9347368,-0.784905124728,0.5940977,j
15188.9466753,-0.57661153815,0.5909805,j
15196.8093448,-2.72912804948,0.5252165,j
15229.9256734,0.0195589330791,0.5892487,j
15231.9513352,-1.96762105897,0.596491,j
15255.7456042,-3.27226283027,0.5150084,j
15260.762144,-0.193731272278,0.5500206,j
15261.711153,0.722160167774,0.9632916,j
15285.7737338,0.93415035678,0.6135573,j
15427.1419606,-2.45140006006,0.4629481,j
15428.1411344,-2.04462260445,0.4859037,j
15432.1451179,0.17503479677,0.5331939,j
15433.1453244,-3.91799533564,0.4609174,j
15434.1430415,-2.72570455128,0.5088132,j
15435.1402139,-1.04310705608,0.4856976,j
15436.1376295,-3.93740858549,0.5152708,j
15437.14492,-1.31467782463,0.4904405,j
15438.1444159,-4.19374407683,0.461208,j
15439.1413272,-2.4948519274,0.5194412,j
15440.1452632,-3.32691760305,0.4777326,j
15456.0425922,-0.849055032948,0.5319157,j
15471.1165096,4.36716888576,0.1988913,j
15472.1077589,-0.916730129554,0.1581221,j
15487.1034598,-4.45183658331,0.5022705,j
15489.9917489,-3.58839246221,0.6037912,j
15490.980305,-5.48809728578,0.5211738,j
15500.9830115,-0.604448388483,0.5334079,j
15521.9698325,-2.08317956119,0.5758858,j
15522.9408923,-2.99307464974,0.5574857,j
15542.948934,-3.55468916956,0.5645612,j
15546.0578634,-3.39722121013,0.6576141,j
15555.8936781,0.248482373107,0.6496311,j
15556.9772176,-2.81899978836,0.5735866,j
15584.9233114,-1.25879043549,0.5852119,j
15792.134356,-6.9702717527,0.9014646,j
15793.138883,-4.7846857422,0.8141549,j
15795.141643,-8.60268817967,0.9469355,j
15796.135893,-5.24371676886,0.8575488,j
15797.13732,-3.6493029649,0.8771639,j
15798.142648,-4.84886103238,0.9196649,j
15799.136424,-4.79641253433,0.8238949,j
15809.13725,-4.08012532509,0.8632989,j
15871.0233419,-2.71746293881,0.5996711,j
15902.0137467,-4.92809116948,0.5529519,j
16018.716083,-3.99634137909,1.0585929,j
16165.14178,-5.75726970627,0.5415143,j
16174.1511829,-2.9161778592,0.5835829,j
16520.140609,-6.42173640092,0.9404658,j
16589.16305,-12.1372742935,1.0505881,j
16637.0091219,-4.69918397625,0.5691434,j

