# star HD number, 215648
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7331.94167079,-5.2892094,11.1710835,p
7350.93080865,-2.8111272,9.1386566,p
7390.9246,-2.3599999,18.0,p
7710.9162,12.9700003,13.9499989,p
7845.6316,17.5100002,24.0799999,p
8199.65784277,36.9210548,16.2951832,p
8800.95521653,21.023407,10.7763138,p
8801.94085138,-9.6613197,10.8281965,p
8832.92313897,8.7242756,10.7250605,p
8833.88504649,10.8813391,10.0115118,p
8834.92379509,18.6097374,9.0021753,p
8846.94478806,-8.7231073,12.8588324,p
8855.83990701,-3.6825917,11.7575445,p
8856.82423905,15.0503588,11.3453703,p
8891.75359876,11.9894495,15.3428106,p
8892.7440365,13.4179277,16.4842625,p
8935.63267037,51.4004478,15.7439375,p
9173.91021854,0.1106511,5.7038336,p
9209.87567831,-22.2154751,11.2717485,p
9255.6914,21.3799992,24.5,p
9299.61484637,2.718317,14.9846573,p
9589.85285357,-23.6884422,11.1678925,p
9602.8675,-0.34,18.4300003,p
9680.6334,4.6199999,18.3999996,l
9893.96142343,2.0897114,3.2412763,l
9941.82361168,8.2755833,3.2049358,l
9983.76255385,-6.6102581,3.4294462,l
10011.6933907,0.1866858,3.000263,l
10263.00195,6.6599998,4.0599999,l
10656.88574,-4.1300001,9.1400003,l
11047.91504,-23.2399998,6.4200001,l
11815.72168,-8.3500004,6.3000002,l
11866.63086,-6.96,5.4400001,l
12120.86035,-6.0500002,5.0300002,l
12127.9164042,0.4767423,3.37181,l
12142.861918,-11.3889465,5.838563,l
12143.8764479,-3.0275421,3.702791,l
12146.8791793,-11.2056608,3.5558555,l
12158.77832,2.74,5.21,l
12160.81348,-12.8800001,5.4000001,l
12171.7235557,-13.1196766,3.9308465,l
12180.7880039,-38.5106888,5.1985407,l
12203.6430478,-2.0569091,3.814836,l
12215.6413726,9.6200104,3.1649747,l
12228.66016,-7.4699998,4.1100001,l
12492.89551,-11.6400003,4.9600005,l
12493.86816,-19.9799995,4.1399999,l
12508.83301,-23.5200005,4.1900001,l
12511.8348893,-14.5112228,2.9972322,l
12512.80664,-9.8299999,5.04,l
12513.84375,-17.8700008,4.2600002,l
12574.67041,-1.355,3.0829856,l
12853.9353344,-2.7751842,3.9373662,l
12893.83594,-14.8100004,4.5100002,l
13189.97656,3.6500001,4.5799999,l
13190.9505044,15.6600933,2.3511055,l
13201.8873233,7.1092997,2.8531692,l
13247.8021565,2.0671713,2.8055661,l
13280.78223,-6.1199999,4.9899998,l
13332.62164,-8.7700005,5.0100002,l
13333.5902,-31.5100002,7.3099999,l
13334.6416,0.26,4.6900001,l
13555.971845,4.7213459,3.0079851,l
13560.9460383,6.9589734,2.9921792,l
13561.96299,3.73,4.79,l
13563.93507,-2.25,5.6999998,l
13564.8667599,8.3803778,3.3545456,l
13565.9094268,5.1403627,3.4152379,l
13566.8949485,-10.8592873,3.3905239,l
13569.9753331,3.1654773,3.1204972,l
13572.90823,-30.8299999,10.4099998,l
13595.8652387,-9.2846651,3.7593963,l
13596.8815792,-12.5146484,3.5769329,l
13691.5856,-33.25,6.6700001,l
13692.58725,-6.5799999,5.3799996,l
13894.98365,6.79,4.04,l
13895.9673079,16.4577541,3.2965808,l
13896.9868422,7.0486579,3.3161273,l
13897.9846458,4.8830271,4.0124226,l
13924.9758807,7.2133121,3.3144422,l
13954.84867,1.25,4.77,l
13956.8831,-16.3099995,4.1900001,l
13962.96355,-12.1099997,4.0500002,l
14097.63344,-18.0599995,4.8600001,l
14099.5986466,-4.719337,4.0421042,l
14102.6040195,-0.5633729,2.9680841,l
14103.6084752,-6.1363444,3.2064426,l
14310.91631,-24.2099991,4.7800002,l
14339.8889949,-5.422123,3.5812392,l
14373.7639433,-21.4179783,3.2096808,l
14399.6946091,2.5402994,3.9266908,l
14424.6697045,0.6953076,2.771426,l
14428.6268469,-1.8271585,2.8342023,l
14623.9652038,8.8691912,3.4380379,l
14640.9670219,10.9054346,3.1289415,l
14724.8748038,-25.0188904,3.436559,l
15167.6502037,9.8925152,3.7075651,l
15171.6660113,10.4557295,5.9302015,l
15438.8565699,3.120343,3.7119875,l
15846.73093,-7.1300001,5.0799999,l

