# star HD number, 20630
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7046.9572,4.0300002,9.3599997,p
7093.82265,-9.04,8.1300001,p
7149.87947,13.8299999,12.9500008,p
7194.69361,-5.9299998,10.710001,p
7223.6662,12.1700001,7.3499999,p
7374.9763,25.3700008,10.5699997,p
7394.9893,42.5,9.8800001,p
7430.956,20.7600002,9.3599997,p
7578.6792,1.3099999,11.1899986,p
7793.94005,-2.21,9.5900002,p
7845.7818,-3.8599999,12.1800003,p
8114.0168,-1.64,14.2299995,p
8115.02424,-4.2399998,14.1299992,p
8199.8663,35.4900017,13.7800007,p
8645.8113,-9.1700001,12.75,p
8648.6955,-6.5900002,7.5999999,p
8848.0152,28.6399994,11.0900002,p
8893.87333,17.6299992,7.2399993,p
8906.93976,29.4300003,3.6099999,p
8934.90288,26.2399998,8.4700003,p
8992.7378,-14.4200001,11.6000004,p
9255.9875,-54.1800003,10.8999987,p
9299.82941,8.6199999,10.4399996,p
9349.71442,-10.2299995,9.7299986,p
9622.9031,-46.2900009,10.1000004,p
9679.78471,0.31,1.29,l
9769.65218,-31.25,1.02,l
10004.98771,-17.1900005,1.5099999,l
10046.82473,-12.3900003,2.1800001,l
10048.90533,12.9700003,2.25,l
10088.83496,-3.7,2.5999997,l
10089.73731,-12.6000004,2.46,l
10325.88965,-49.3300018,2.46,l
10327.95996,-14.1700001,2.3599999,l
10437.81836,41.8199997,2.3800001,l
10441.84277,36.5299988,2.6500001,l
11132.85059,-25.6200008,4.3499999,l
11440.00365,8.0,2.53,l
13403.6484,-46.4099998,2.4300001,l
13404.64387,-29.7700005,2.6099999,l
13773.64564,-70.8499985,2.6099999,l
14863.65913,-31.9699993,2.71,l
15844.96014,-30.7099991,3.99,l
15846.84889,-6.96,2.46,l

