# star HD number, 131977
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
9200.6939,16.4699993,12.8699999,p
9351.075,61.3699989,11.5600004,p
9375.0757,21.7000008,9.6700001,p
9464.9045,18.0599995,9.1400003,p
9469.8967,31.1299992,8.9700003,p
9768.0425,11.1800003,5.6100001,l
9794.01465,30.9099998,2.1700001,l
9881.85644,16.9699993,2.1700001,l
10181.89453,6.9099998,1.76,l
10231.8317492,22.1351032,2.4096444,l
10232.8077488,19.1609573,2.4396658,l
10233.879698,3.4898109,3.2716773,l
10234.8618291,8.4553013,3.1666784,l
10235.7980071,18.6323967,2.2488704,l
10263.7041,10.3299999,1.64,l
10299.68945,14.8900003,2.0999999,l
10504.9938958,15.7245636,1.6332585,l
10536.9009358,24.4260445,2.575249,l
10537.93066,12.9300003,2.6200001,l
10550.9127406,-8.2779512,2.0749159,l
10562.9592358,11.485116,2.9248607,l
10563.8533821,6.9400072,2.1224427,l
10578.8183895,15.6667662,1.6160173,l
10579.8056399,11.6051712,1.5699003,l
10610.7398782,10.9287586,1.4491032,l
11004.73419,3.6700001,3.78,l
11005.73047,0.0,3.9200001,l
11006.71875,7.1500001,3.99,l
11014.71582,0.57,5.1799998,l
11027.67969,7.04,3.3199999,l
11044.70508,17.8999996,5.0100002,l
11046.67969,6.2600002,3.5899997,l
11207.08008,-2.97,2.8699999,l
11213.07031,13.6400003,3.05,l
11242.99219,3.9400001,2.6600001,l
11298.87319,24.3999996,2.46,l
11299.78809,11.0299997,2.28,l
11303.85156,1.4400001,2.3499999,l
11304.80762,9.4399996,2.1900001,l
11305.82129,9.7299995,2.6899998,l
11351.73926,14.1000004,3.0899999,l
11352.72754,14.7799997,3.1300004,l
11364.69824,9.9499998,2.54,l
11377.7159024,-6.6491079,2.2200112,l
11378.7069837,-15.4783821,2.0700495,l
11379.7061458,-7.2437038,2.0858598,l
11380.7088053,-6.5561285,1.8556614,l
11387.711824,-4.0761623,2.379885,l
11388.7012768,-2.0295768,2.0709181,l
11389.7025003,-10.2260895,2.3098781,l
11391.6965378,3.5819135,2.3762732,l
11392.6975926,0.6190386,2.2536123,l
11627.88769,11.1300001,4.3800001,l
12071.7876554,-10.024518,5.2436323,l
12072.76367,-1.37,4.6300001,l
12073.786051,-4.6086254,2.2611182,l
12075.7612149,-7.0512018,1.5056893,l
13072.932765,-17.8713188,1.6572973,l
13120.8626525,-12.1754932,1.8532376,l
13130.87988,-15.1800003,2.0599999,l
13149.8633513,-16.4044762,3.0936422,l
13391.06565,-30.1000004,1.9800001,l
13392.0723,-23.9300003,1.99,l
13393.0364,-36.8800011,1.96,l
13439.0406449,-25.2800827,1.7111547,l
13441.0270239,-19.3333988,1.6609789,l
13514.80112,-29.0900002,1.8300002,l
13774.03214,-31.7299995,2.1400001,l
13869.83906,-29.4699993,2.1400001,l
13896.81954,-27.3999996,1.9500002,l
13897.75309,-13.2700005,3.0799999,l
13925.7185903,-29.9738388,1.7633706,l
14134.06181,-43.9599991,1.99,l
14136.08554,-41.8600006,1.9299999,l
14219.86456,-34.3600006,2.05,l
14220.87727,-30.0300007,1.97,l
14253.8363899,-30.66362,1.4848737,l
14547.97618,-28.2299995,2.47,l
14574.88271,-53.2299995,2.05,l
14606.81292,-31.0,2.1400001,l
14612.8258,-27.3799992,3.71,l
14613.83475,-23.7000008,2.6500001,l

