# star HD number, 102870
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
6959.768,-11.8599997,15.3100014,p
7181.96913,-2.4200001,10.4700003,p
7182.95013,12.0,10.46,p
7194.95879,-4.8200002,6.0299997,p
7224.79778,-21.7399998,6.8799996,p
7331.71537,-3.55,8.1199999,p
7374.6885,55.8800011,19.8700008,p
7577.8979,-20.5499992,9.8199997,p
7709.704,31.4799995,10.1400013,p
7846.0494,23.5400009,13.7099991,p
7919.9835,9.2200003,12.8500004,p
8017.77273,9.3400002,5.7399998,p
8018.76922,16.9599991,9.8000002,p
8019.7292,60.0699997,15.0799999,p
8374.79675,0.14,9.4799995,p
8437.70934,25.9799995,9.8299999,p
8438.7105,8.3100004,13.75,p
8649.04829,5.3000002,6.75,p
8670.86064,26.9300003,8.4300003,p
8744.8309,31.7999992,12.8000002,p
8780.70824,2.97,8.0699997,p
8993.0156,6.1799998,11.3599997,p
9067.81041,-0.37,8.7700005,p
9094.7659,40.0400009,10.210001,p
9122.73209,3.48,8.0299997,p
9351.02027,19.4699993,9.1700001,p
9411.8828,11.25,12.6700001,p
9481.7332,0.89,11.1400003,p
9770.03296,-0.97,1.7199999,l
9793.90477,-15.0600004,1.35,l
9857.68999,-8.8800001,1.88,l
10090.9188,0.53,1.6199999,l
10126.93399,2.4100001,1.7800001,l
10128.94824,7.52,2.29,l
10148.92581,13.0299997,1.8200001,l
10187.79081,-3.52,1.7500001,l
10200.74708,-1.74,1.65,l
10503.9082,46.4500008,2.6099999,l
10614.74512,17.8400002,3.3600001,l
10794.04492,15.04,2.0999999,l
11861.06836,9.1899996,3.1500001,l
11909.00684,-5.0100002,2.6200001,l
11946.99707,20.0699997,3.9300003,l
12041.72852,4.6599998,2.96,l
12283.09277,11.6700001,8.3699999,l
12288.06316,14.2299995,2.0999999,l
12334.91894,23.2299995,3.6099999,l
12991.06836,-19.1700001,2.2,l
13010.04492,-19.4300003,2.3599999,l
13019.06836,-5.46,2.5999997,l
13081.89738,-13.3400002,1.76,l
13102.81738,-18.2800007,2.55,l
13118.76491,-11.5900002,1.7800001,l
13131.72363,-3.24,2.46,l
13132.74609,-0.35,2.72,l
13147.73633,-8.8000002,2.3199999,l
13157.71973,-0.29,2.53,l
13361.0576,-13.3699999,2.4200001,l
13363.04454,2.1300001,1.7800001,l
13363.9818,0.65,1.89,l
13385.07392,-2.8099999,1.8300002,l
13386.06578,1.26,1.6800001,l
13388.96378,-0.92,1.8200001,l
13402.99228,1.24,1.8099998,l
13403.98767,4.4899998,1.91,l
13405.01007,12.5900002,1.8300002,l
13406.02842,2.27,1.7199999,l
13437.93004,-0.82,2.0699999,l
13438.89812,-5.8000002,2.02,l
13440.81336,-2.3699999,2.0999999,l
13441.8834,-12.4300003,2.9699998,l
13460.81938,12.5,2.0999999,l
13475.72963,2.1099999,2.04,l
13476.72264,-8.9899998,1.88,l
13477.74109,-4.25,1.85,l
13478.77745,-1.37,1.8,l
13479.79243,4.79,1.9200001,l
13512.72741,-1.13,1.96,l
13523.719,-8.04,1.9500002,l
13540.71664,-6.2800002,2.3099999,l
13541.72411,-1.4299999,2.21,l
13745.03215,-18.4599991,1.5599999,l
13753.01027,-16.1700001,1.9299999,l
13756.04869,-18.1499996,1.6700001,l
13773.94737,-20.8600006,2.0,l
13844.78701,25.4300003,4.0999999,l
13845.73588,24.4099998,4.02,l
14072.07947,-12.29,1.74,l
14103.06362,-19.4400005,1.88,l
14104.06217,-25.7900009,1.6999999,l
14133.9889,-7.5799999,1.6999999,l
14135.89215,-0.79,2.0,l
14165.87896,-21.2800007,1.85,l
14547.92996,4.27,1.9200001,l
14574.86272,-17.4200001,1.66,l
14597.75026,-1.7,1.7899998,l
14599.7063,-2.6500001,2.4400001,l
14784.06361,15.29,2.76,l

