# star HD number, 117176
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7195.02805118,-83.0642776489,7.3545604,p
7224.84767987,211.082046509,5.8082309,p
7373.72158609,179.140075684,5.2563124,p
7578.8968,298.170013428,9.3199997,p
7710.7528,494.429992676,11.3299999,p
7965.0019,69.5,12.4700003,p
8018.8493,-64.5,12.8300009,p
8376.803,0.0,12.2399998,p
8437.7498,10.7399997711,11.8500004,p
8670.98861158,-10.2712287903,8.8149099,p
8746.69332435,340.269958496,9.4862051,p
8781.78170524,62.1908912659,7.3960252,p
8847.6743,28.4300003052,10.6700001,p
8993.0836,508.209991455,9.9499998,p
9068.92396766,-44.1616668701,7.1177835,p
9096.86903629,334.066467285,7.5056853,p
9124.78092023,161.702728271,7.3584061,p
9172.7042,-74.75,11.3299999,p
9349.0911,370.440002441,11.4200001,p
9411.9709,-62.5600013733,10.9300003,p
9469.8129,281.679992676,12.54,p
9767.0032,-54.9000015259,5.1500001,l
9768.97949,-52.3400001526,2.5899999,l
9793.95724764,251.170227051,1.0633756,l
10087.93164,-87.5199966431,2.22,l
10089.01953,-92.3399963379,2.0999999,l
10089.97363,-88.3700027466,1.7899998,l
10091.08594,-93.4800033569,2.0599999,l
10121.0358248,-39.5093612671,2.0150669,l
10122.0278122,-44.5975494385,2.2389762,l
10124.9977411,-17.0837078094,1.6077241,l
10125.86133,-13.7899999619,2.71,l
10127.0355523,-5.92634344101,2.2252114,l
10129.0431764,18.3870830536,1.624686,l
10144.95215,280.470001221,1.85,l
10145.9506293,304.244903564,2.5963769,l
10148.9687402,389.779876709,1.9449005,l
10150.9345578,446.715484619,1.7221081,l
10172.9140645,205.170257568,1.9966049,l
10173.88769,182.169998169,2.5,l
10179.78027,89.9100036621,2.0799999,l
10180.7661877,74.0176239014,1.3896024,l
10186.8305411,21.9980010986,1.9133267,l
10199.8210092,-60.9325332642,1.6757983,l
10200.8376533,-68.8430938721,1.7653499,l
10201.8273994,-65.1635055542,1.9795581,l
10202.8301032,-71.6350708008,1.7430781,l
10214.7795659,-104.729629517,1.7710379,l
10234.8016129,-50.4754486084,1.9231744,l
10263.66894,330.239990234,1.8099998,l
10502.97852,483.619995117,2.21,l
10537.88281,-3.66000008583,2.3099999,l
10563.75195,-76.5800018311,2.47,l
10614.7562815,356.833984375,1.7292067,l
10655.68848,-12.8299999237,2.3199999,l
10794.06055,-90.5999984741,1.91,l
10978.7655915,481.610351562,2.0329669,l
11005.70801,-7.34000015259,3.0,l
11207.01269,533.559997559,2.8,l
11303.82129,117.550003052,2.6600001,l
11700.7392124,38.1577377319,2.7800131,l
11969.94727,-84.6800003052,3.4200001,l
12041.8312836,166.382965088,1.8858092,l
12055.7911495,-3.44821476936,1.899152,l
12072.7166505,-87.8744812012,1.9916352,l
12122.69629,143.270004272,2.45,l
12333.97461,-54.8699989319,2.9200001,l
12334.9541,-52.5099983215,3.28,l
12335.96387,-64.4300003052,2.3800001,l
12338.95898,-33.2400016785,2.7,l
12345.942859,20.8925304413,2.1689689,l
12348.9649453,44.4643363953,1.9407667,l
12427.76367,-109.489997864,2.74,l
12428.80859,-121.459999084,2.1300001,l
12449.7295531,-72.4042205811,2.0287678,l
12723.9376918,531.138671875,2.1599941,l
12796.7178398,-87.3808441162,1.2998518,l
13021.07031,-100.559997559,2.7500002,l
13022.02494,-105.059997559,2.6300004,l
13069.87695,458.989990234,2.3099999,l
13080.9511386,428.228942871,1.5273957,l
13102.86621,0.870000004768,2.23,l
13130.8244687,-104.120422363,1.6383293,l
13162.7064086,1.08942091465,1.6861719,l
13363.0515,-101.209999084,2.4300001,l
13389.06953,-48.4900016785,2.4000001,l
13391.00264,-52.5900001526,2.45,l
13392.04633,-41.0200004578,2.3199999,l
13393.02009,-28.9300003052,2.3299999,l
13403.04659,73.0800018311,2.27,l
13436.90184,267.589996338,2.51,l
13438.93611,213.169998169,2.4300001,l
13440.88377,183.300003052,2.53,l
13441.98706,171.759994507,2.3399999,l
13475.82543,-81.1600036621,2.4100001,l
13476.7924,-87.5,2.5599999,l
13477.81099,-96.6600036621,2.3099999,l
13478.84384,-98.4700012207,2.4300001,l
13479.85233,-93.5199966431,2.54,l
13501.82814,-69.8799972534,2.5899999,l
13565.7126,47.25,2.55,l
13753.02186,100.559997559,3.3499997,l
13756.0798,129.509994507,2.7,l
13773.99421,509.589996338,2.4400001,l
13843.87891,-86.0100021362,2.3,l
13933.8222108,-209.657390362,0.6067035,j
14085.1666297,-195.653323604,0.6656687,j
14130.1230912,328.49572519,0.5698525,j
14131.1177008,299.510137945,0.6001493,j
14134.03032,346.089996338,2.3,l
14139.1032887,98.5296508583,0.6433034,j
14169.93907,-86.2799987793,2.3800001,l
14196.85956,-86.5500030518,2.29,l
14219.8428,88.6999969482,2.5599999,l
14253.7365314,259.371948242,1.4450639,l
14254.73845,254.630004883,2.71,l
14547.96363,-82.8000030518,2.3199999,l
14574.87404,161.600006104,2.1800001,l
14641.848669,-228.392518713,1.1721207,j
14807.16184,18.6991440953,1.4627131,j
14809.166065,55.1267843228,1.3439468,j
14811.169595,104.008622749,1.1570435,j
14839.143564,91.2637068403,1.2833909,j
14864.0731451,-64.8003463745,2.6281283,l
14865.092737,-191.568506502,1.1350775,j
14866.065584,-201.367149084,1.2672352,j
14868.10796,-206.23063816,1.4153991,j
14927.004294,77.5132865173,1.3439816,j
14963.768925,-46.8793796727,1.3464161,j
14983.924524,-204.198023714,1.4213209,j
14984.938313,-203.071290749,1.246192,j
14985.935922,-208.128656442,1.182747,j
14986.927038,-208.853632087,1.2568674,j
14987.929413,-214.138431756,1.1376309,j
14988.873702,-217.373719536,1.4372612,j
15016.742526,-196.093477866,1.2226406,j
15042.733662,66.6347772727,1.2432038,j
15043.743474,84.997734092,1.3208905,j
15044.776651,108.662144731,1.1516426,j
15188.174435,123.645537059,1.1926727,j
15189.17301,97.2133026865,1.3100649,j
15198.176416,-59.4220372331,1.1873451,j
15199.177031,-67.7693814004,1.1113319,j
15229.0366542,-90.2273864746,2.811621,l
15256.947733,-173.515669451,1.2841526,j
15286.015094,306.911711178,1.3529716,j
15311.805656,-21.5909939094,1.2642279,j
15312.7970171,113.382873535,1.5761052,l
15312.798323,-29.3730663916,1.0780399,j
15314.854945,-63.6218509193,1.2296423,j
15375.752143,-157.397787588,1.1847377,j
15405.73625,386.160035478,1.0459094,j
15577.01988,-94.5500030518,2.3199999,l
15585.188424,-231.702758758,1.1347787,j
15602.94573,-54.1399993896,2.05,l
15603.92284,-45.3499984741,2.55,l
15607.180244,-171.263312136,1.2670392,j
15636.9722113,340.951614378,0.6153832,j
15706.733397,-229.642329517,1.0521352,j
15707.730621,-228.39434241,1.20558,j
15731.94048,-104.582059434,1.3607417,j
15792.7198871,-165.554775112,0.7211604,j
15993.0276086,391.373775332,0.8007876,j
15995.025878,368.445879617,1.6811002,j
16145.726242,-177.186097641,1.1657151,j
16319.0058757,-61.729925842,0.6533037,j
16488.734736,-133.351433952,1.0967286,j
16637.166117,-230.540075992,1.1788011,j
16675.187101,32.5546085416,1.1774631,j
16828.767437,-14.2620032272,1.0839974,j
16883.731434,-199.565599981,1.3080671,j
16888.719993,-179.448277828,1.294698,j
16892.721881,-158.25909379,1.2396611,j

