# star HD number, 161797
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7048.6994,869.450012207,6.8499994,p
7331.8616127,822.808166504,6.3951445,p
7373.8722,849.719970703,6.6999993,p
7391.8269,837.570007324,5.75,p
7579.0208,833.090026855,10.75,p
7708.8429,801.5,8.1999998,p
7846.615,792.719970703,8.2799997,p
8113.74873277,730.453125,6.631052,p
8114.80618964,757.035522461,7.1098943,p
8437.91697159,692.442138672,7.1290359,p
8745.9236,674.369995117,7.1799994,p
8779.89210126,668.737060547,6.9940386,p
8799.87323405,666.079101562,5.3760095,p
8832.75301483,662.662231445,4.6151443,p
8833.74424583,663.352783203,5.1228971,p
8846.69233008,661.987731934,5.4857488,p
8847.79262068,663.342163086,2.1840701,p
8855.66039457,662.338623047,4.3174891,p
8857.70377523,671.431762695,4.2763033,p
8891.64388228,665.819763184,4.4930372,p
8905.6623,653.789978027,6.1599998,p
9069.05025222,641.502929688,5.4052548,p
9122.89902673,638.046630859,5.4238377,p
9124.89326991,635.687866211,6.1296806,p
9210.7217584,620.31427002,4.6658645,p
9480.9646,578.960021973,7.3600001,p
9481.9056,582.789978027,9.3500004,p
9587.70606972,577.292236328,4.6955285,p
9601.65641674,568.225708008,4.8571892,p
9769.1013,561.219970703,5.1300001,l
9803.0459,543.33001709,1.99,l
9858.89627528,526.601745605,1.4770414,l
9871.89905883,534.102416992,1.3925158,l
10173.0293,496.010009766,1.6899999,l
10187.9880224,492.856445312,1.3012245,l
10199.9978199,492.16809082,1.3060849,l
10298.72363,477.329986572,1.7899998,l
10503.07324,443.5,1.9200001,l
10602.00015,891.306352181,1.2711524,k
10602.945949,898.106553597,1.1925416,k
10603.944688,897.965394539,1.1854608,k
10604.831076,896.770509285,1.2747283,k
10605.799398,887.96954493,1.3214712,k
10606.119213,899.36129908,1.1452236,k
10606.924398,893.608369393,1.4336979,k
10607.847164,891.255647225,1.1572406,k
10610.94727,429.570007324,1.6899999,l
10614.82519,422.739990234,1.9299999,l
10640.79785,426.549987793,2.01,l
10656.77148,421.790008545,2.0699999,l
10926.0149746,378.214935303,1.5100894,l
10976.89453,369.570007324,2.9100001,l
11045.73242,370.779998779,2.24,l
11299.90723,328.329986572,2.1199999,l
11337.81445,321.660003662,2.1600001,l
11351.81445,313.339996338,2.26,l
11352.80469,313.440002441,2.26,l
11354.79688,318.769989014,2.5999997,l
11369.8934152,779.740110962,0.5732532,k
11370.8523359,776.863476828,0.3107477,k
11372.80078,308.170013428,3.04,l
11372.8569349,774.12585315,0.2506332,k
11373.786227,776.080667061,1.1925677,k
11374.79492,304.25,2.9000001,l
11375.79785,312.109985352,2.6700001,l
11407.70703,307.820007324,2.29,l
11409.75781,308.959991455,1.87,l
11410.781817,763.744355721,1.5121861,k
11417.66211,302.589996338,3.2599998,l
11418.71582,308.890014648,2.5,l
11419.65234,304.279998779,2.29,l
