# star HD number, 10700
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7046.92998,3.6099998951,7.5299997,p
7093.7767,-1.39999997616,10.8699999,p
7094.82309,-10.6800003052,6.8099999,p
7149.8052,-10.3299999237,12.6899986,p
7193.64902,-10.6700000763,4.8899999,p
7373.98902,8.44999980927,6.8300004,p
7390.007,12.8100004196,8.5100002,p
7394.9333,-5.11000013351,8.7799997,p
7430.82682,-8.81999969482,6.2199998,p
7431.81608,18.8899993896,6.6800003,p
7792.9847,-10.529999733,10.7700005,p
7793.8542,-21.5100002289,10.8500004,p
7794.83949,-18.1900005341,7.6900005,p
7845.67767,5.15000009537,6.4799995,p
7919.6298,14.3299999237,11.5699997,p
8113.97074,8.38000011444,5.8800001,p
8114.99466,11.279999733,7.0700002,p
8199.77141,15.1300001144,4.29,p
8200.72891,12.0699996948,4.5100002,p
8645.72528,-3.70000004768,7.4999995,p
8846.01725,1.07000005245,7.6700001,p
8847.03029,-10.25,6.71,p
8847.95328,-5.01999998093,7.46,p
8855.96414,7.01999998093,5.9200001,p
8856.98422,17.5599994659,6.02,p
8857.90673,0.949999988079,5.1100001,p
8893.82166,7.28999996185,6.8099999,p
8894.941,-2.03999996185,9.4399996,p
8895.9233,-3.28999996185,8.7799997,p
8897.9191,0.34999999404,9.4399996,p
8899.9035,7.90999984741,9.3500004,p
8900.8917,-6.63999986649,9.4099998,p
8901.9545,-4.32999992371,8.9099998,p
8902.8847,-7.19999980927,9.5699997,p
8903.9531,-9.89999961853,8.9200001,p
8904.9634,-7.21999979019,9.2799997,p
8905.88352,-5.84999990463,7.1200004,p
8906.90558,4.94000005722,6.25,p
8907.8452,2.23000001907,7.2399993,p
8933.88731,8.34000015259,9.5299997,p
8934.81145,-1.10000002384,6.5300002,p
8935.88837,6.21999979019,7.6800003,p
8991.70481,2.75,5.2600007,p
8992.66533,-2.00999999046,4.5599999,p
9199.95942,-11.1300001144,7.4399996,p
9201.01676,-3.79999995232,8.9700003,p
9209.94707,2.3900001049,6.5700002,p
9211.9506,6.53000020981,9.5200005,p
9212.9941,-8.47999954224,7.7599998,p
9214.0129,9.97000026703,8.3000002,p
9216.9882,2.28999996185,8.6700001,p
9217.9909,16.3999996185,8.6300001,p
9218.9988,5.67999982834,8.96,p
9219.9874,-2.95000004768,8.3800001,p
9220.9937,0.959999978542,9.04,p
9221.998,2.17000007629,8.3199997,p
9223.0013,-10.2600002289,8.7399998,p
