# star HD number, 128167
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7224.91174887,6.4835086,15.4464397,p
7331.81299001,-54.0622482,17.241457,p
7374.7306,2.1099999,29.6200008,p
7393.7062,-49.0699997,28.0599995,p
7578.9451,14.3500004,31.1599998,p
7709.77118023,55.447197,25.9412289,p
7919.0583,-70.0,35.0800018,p
7965.0122,-91.3700027,44.8699989,p
8019.84366092,122.9299774,30.414711,p
8746.75270228,20.3090649,21.4896641,p
8781.83326359,-9.0904169,19.6265965,p
8847.7135,-58.7099991,27.2999992,p
8993.0961,50.9599991,27.8700008,p
9068.96812436,-16.5137024,19.7869797,p
9122.81417166,-15.983345,16.1739521,p
9351.0638,21.7000008,30.5799999,p
9412.0171,41.4599991,27.170002,p
9481.77138638,70.8014374,21.0430546,p
9767.0503,5.1300001,14.8799992,l
9801.93492232,-17.9452744,6.021749,l
9859.7793,-73.9300003,8.1000004,l
10129.07812,-23.3199997,6.4499998,l
10172.9684632,-43.9965858,5.9060755,l
10186.8811925,-66.4286499,5.1611676,l
10199.8673261,-6.3565745,5.0272756,l
10215.76416,-7.2349997,5.0487423,l
10262.70801,-34.1599998,7.3400002,l
10504.95312,-1.8,7.71,l
10640.73144,16.3899994,9.6700001,l
10656.73926,-38.2999992,10.5299997,l
10854.9668,226.3200073,68.8199997,l
10978.78809,-27.8199997,8.2299995,l
12042.8045784,-5.3364935,5.50425,l
12738.9108044,-23.3173008,5.1087546,l
12795.7006783,40.6029701,4.5297675,l
13118.8409388,82.4427795,6.3974395,l
13130.85547,-17.4300003,6.79,l
13131.80078,57.2700005,7.0000005,l
13155.81738,73.2399979,7.2700005,l
13391.0595857,30.4249439,5.1895647,l
13407.0663887,9.3325987,5.7618661,l
13438.0366314,3.565675,5.5061812,l
13438.9980968,-19.9755096,5.4657388,l
13440.9451041,-0.849916,5.2941909,l
13442.0124175,45.3095131,5.3345265,l
13474.893455,-36.1126213,5.4652634,l
13475.847726,15.4967079,5.3039021,l
13514.76127,75.75,7.3699994,l
13869.8283908,14.4879818,5.4250541,l
14135.998853,4.0631037,4.9752345,l
14166.0047,49.0099983,6.9899998,l
14219.85208,-20.9874763,5.4115524,l
14220.8644991,-4.9073973,4.8089099,l
14606.80713,57.1500015,6.5900002,l

