# star HD number, 90839
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7150.06769,-5.4099998,10.46,p
7181.91582,15.8999996,16.8899994,p
7182.9,23.1499996,48.0400047,p
7224.73337,23.1200008,7.2600002,p
7920.9885,-20.3600006,13.3600006,p
8019.67492,39.3100014,9.0799999,p
8375.7374,26.3700008,13.0700006,p
8645.9639,-9.0900002,8.1000004,p
8744.69369,-1.61,10.2600002,p
9031.9066,-25.9599991,11.1000004,p
9032.9273,-12.8999996,9.0600004,p
9033.9972,-16.8500004,11.8899994,p
9067.72176,1.87,8.5900002,p
9094.72464,-21.3799992,9.3599997,p
9411.8156,16.6599998,13.1299992,p
9481.7028,-7.8400002,13.5100002,p
9767.8946,-3.3699999,4.9200001,l
9768.87695,15.9099998,2.52,l
9802.73911,-6.3899999,1.8200001,l
9872.68603,1.3,1.87,l
10049.04318,3.8900001,3.1199999,l
10069.02832,7.0100002,3.03,l
10172.78282,2.46,2.1700001,l
10550.84277,-1.39,2.9000001,l
12738.74967,-22.3299999,1.3100001,l
13018.97363,-26.9500008,2.51,l
13149.75152,3.23,1.6899999,l
13341.05789,-10.0200005,2.3299999,l

