# star HD number, 48682
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7048.9987,21.6900005341,9.96,p
7194.78178,10.6700000763,7.98,p
7223.73599,21.7299995422,5.5700002,p
7577.8019,19.2099990845,8.1199999,p
7845.938,8.05000019073,10.8699999,p
7964.6955,25.5499992371,11.1899986,p
8374.67811,14.9200000763,6.8200002,p
8376.6817,32.4199981689,9.1199999,p
8646.81505,4.63999986649,7.0599999,p
8670.7132,7.51999998093,11.0799999,p
8905.9976,39.2200012207,15.8099995,p
8936.04798,30.8099994659,10.5299997,p
8992.77657,-2.3599998951,6.0100002,p
9298.99989,37.0099983215,8.4399996,p
9349.76683,5.05999994278,8.1700001,p
9622.93739,36.5800018311,13.210001,p
9680.9321,-1.49000000954,7.04,l
9766.74699,16.0400009155,3.05,l
9767.7041,22.8600006104,3.4300001,l
9793.68359,-13.720000267,2.6099999,l
10013.96289,17.3899993896,5.9099998,l
10031.96953,12.9799995422,2.8599999,l
10046.94924,6.86999988556,2.53,l
10086.85938,-3.09999990463,2.8099999,l
10090.85644,6.11000013351,2.4200001,l
10091.80469,0.0,2.8900001,l
10121.84295,9.77000045776,2.45,l
10124.78583,12.4899997711,2.5899999,l
10125.71591,19.3199996948,2.99,l
10126.79173,30.2600002289,3.01,l
10127.81738,13.1199998856,4.25,l
10128.81999,17.8099994659,2.5699999,l
10441.89062,9.30000019073,3.1199999,l
10502.72754,-7.15000009537,2.45,l
10793.83984,13.7299995422,2.8199999,l
10794.86621,0.34999999404,2.6700001,l
11131.97461,12.0399999619,3.78,l
11152.94238,6.13999986649,3.52,l
11539.87012,11.3199996948,3.1099999,l
11909.93172,-2.33999991417,2.54,l
11915.86721,2.28999996185,2.04,l
12282.81055,-0.819999992847,5.1399999,l
12631.86164,-0.730000019073,2.21,l
12656.87859,-8.18000030518,1.65,l
12657.80341,-7.32999992371,2.0,l
12658.91059,-10.4399995804,1.77,l
12659.90933,-11.1300001144,1.59,l
12687.76077,-35.4599990845,2.1800001,l
13033.76172,-18.2399997711,2.9000001,l
13068.69629,-5.38000011444,2.79,l
13093.65306,-0.980000019073,6.02,l
13094.64591,-37.8699989319,14.9700003,l
13281.97656,-14.5699996948,3.0,l
13316.97885,0.230000004172,2.4800003,l
13337.875,-12.1000003815,3.0700002,l
13338.89062,-7.48999977112,2.8,l
13349.93593,16.3299999237,2.7500002,l
13363.94447,-5.90000009537,2.74,l
13383.83558,4.73000001907,2.6099999,l
13391.89778,-9.69999980927,2.6099999,l
13392.70452,-4.0,2.73,l
13402.79626,-8.38000011444,2.3399999,l
13404.82937,-2.84999990463,2.27,l
13405.80926,-9.56999969482,2.8199999,l
13437.68344,-6.21000003815,2.3800001,l
13438.6729,-1.90999996662,2.4000001,l
13439.6784,1.20000004768,2.4000001,l
13441.67945,6.55999994278,2.3499999,l
13461.66633,18.7999992371,8.4499998,l
13744.76243,-7.92999982834,2.5599999,l
13748.79006,-21.0100002289,4.9699998,l
13751.86579,-5.67999982834,2.6099999,l
13752.81428,-4.76999998093,3.0899999,l
13755.7248,-5.96000003815,1.8599999,l
13756.78132,-11.3599996567,2.8099999,l
13757.85586,2.19000005722,3.0199997,l
13989.02957,3.47000002861,3.1500001,l
14072.86505,-7.75,2.9200001,l
14073.83821,-9.46000003815,2.6400003,l
14086.0972611,-7.18932274942,0.8568261,j
14099.90903,-13.4200000763,2.0799999,l
14103.84199,-19.9899997711,2.5899999,l
14133.79674,-16.4799995422,2.8099999,l
14138.7543503,-3.51771818687,0.8417409,j
14165.70218,-10.5399999619,2.78,l
14171.6777,14.6800003052,4.6300001,l
14399.090914,3.71568802575,1.3107474,j
14425.97245,-6.53999996185,2.51,l
14427.0169,-16.2600002289,1.48,l
14427.97518,-10.3900003433,1.65,l
14428.9958,-10.5200004578,1.46,l
14718.109896,-1.70721276812,1.4039856,j
14719.109317,-5.3999704213,1.302729,j
14720.114549,-7.07933894902,1.3868657,j
14721.120058,-3.85991204517,1.3934168,j
14722.136019,-2.45712247528,1.3864975,j
14723.143137,-3.52178537969,1.4674193,j
14724.146227,-6.00327495941,1.3577727,j
14725.099769,4.06741356314,1.4540874,j
14727.148877,0.835548386973,1.3463049,j
14728.085278,-8.93417686858,1.3921881,j
14807.988299,-5.66586843206,1.5788171,j
14810.008102,-5.02688919631,1.6278157,j
14810.849942,-6.06486577116,1.6275932,j
14839.049535,-5.81669108865,1.6964278,j
14847.77898,2.43000006676,2.3699999,l
14864.938845,-9.04835331274,1.7340645,j
14866.7458115,4.67329384681,1.5238051,j
14934.75661,1.8816721458,1.6811059,j
15074.137577,-2.14220853122,1.5696285,j
15077.145214,-7.13652729609,1.2429758,j
15079.145656,-8.47555208782,1.5055313,j
15081.144284,-0.998144142389,1.3423076,j
15085.14282,-8.19826095036,1.3002182,j
15110.107561,10.4059146804,1.4870439,j
15134.065423,5.37163206169,1.4735847,j
15284.71514,-6.02067132688,1.6787927,j
15321.718444,2.16504418297,1.6697454,j
15342.733967,-3.95399160711,1.7745527,j
15440.124336,4.77758425468,1.306608,j
15467.154101,3.73203616026,1.2296469,j
15468.154923,2.5178996171,1.3906089,j
15469.15108,1.39178191457,1.2945532,j
15472.013025,-2.20548095338,1.4214659,j
15558.961194,2.47768994916,2.4351161,j
15559.987702,0.833139703971,2.298229,j
15633.713113,-0.698419521098,1.6013234,j
15634.711589,-0.767957226621,1.5655636,j
15636.71407,2.61729682238,1.6663518,j
15812.142554,-7.10107895562,1.1407835,j
15846.96393,4.44999980927,3.4900002,l
15878.165068,-3.03308926683,1.5466025,j
15902.179298,3.40464708647,1.5669177,j
16019.718529,-4.53894608468,1.8421968,j
16208.156591,5.28066259989,1.3490312,j
16548.1504853,3.20667473995,0.7485274,j
16588.068842,2.91995996696,1.4974449,j
16911.098915,1.12730563419,1.4960983,j

