# star HD number, 114710
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
6959.7737,26.4599991,19.3099995,p
7182.01952993,-51.6327591,13.8073397,p
7194.98213882,-20.1762161,7.8416262,p
7223.85890704,-39.6493835,5.9579811,p
7224.82180697,-48.3909836,6.2848854,p
7330.73289964,10.7313614,8.6811018,p
7373.70812843,5.8372846,7.632513,p
7578.8809,-1.61,12.5700006,p
7708.7416,-2.29,13.4699993,p
7919.0099,-15.5600004,13.1599989,p
7964.97698949,-0.0735726,9.8658886,p
8017.79741785,19.8752022,8.6397943,p
8018.79732937,4.6622586,4.6646342,p
8019.741399,9.041749,8.7184553,p
8113.66430961,42.1512833,9.9118795,p
8374.82167871,-43.6429977,8.3098726,p
8375.8214973,-12.6977463,7.1457162,p
8376.75373841,12.3048782,7.4097939,p
8437.71749813,27.8498859,11.3243132,p
8438.7537607,14.2773085,10.7593145,p
8649.0574886,-23.742979,9.0748711,p
8670.91141868,11.1506157,8.8514309,p
8723.73973647,72.5811462,8.0782337,p
8744.86830034,11.7203741,11.0203371,p
8779.7061024,-0.888676,10.5686111,p
8847.65782249,-10.4729586,7.8513498,p
8993.0455,-38.2299995,11.1499996,p
9067.84973143,-4.2183986,9.1344309,p
9114.76724118,6.5246186,10.0793886,p
9123.74580233,1.2078545,9.9360209,p
9172.69895618,-10.880106,9.8586855,p
9174.6941858,-10.1468658,8.849185,p
9351.02450439,-15.6206341,9.5380659,p
9411.9009,7.2600002,13.9899988,p
9469.80315167,12.3223705,7.5604224,p
9770.05037664,17.6269264,1.5499496,l
9793.99103501,12.692852,1.2000349,l
9881.70236862,1.8301264,1.241726,l
10090.93262,5.9299998,2.46,l
10202.7830442,28.8200302,1.8303831,l
10231.7991111,17.7631989,2.28,l
10262.69531,0.0,2.5599999,l
10438.09082,-2.5899999,2.76,l
10502.94824,3.1600001,2.55,l
10503.93652,-8.0699997,2.6700001,l
10614.74902,-4.3299999,3.1099999,l
11304.76074,8.8299999,2.6400003,l
11627.86523,20.1000004,3.4599998,l
11947.01074,11.79,3.9100001,l
12041.8181774,12.3109894,2.1113775,l
12268.0777889,-0.9500606,1.873673,l
12334.93457,15.1800003,3.54,l
12335.95508,-2.29,2.72,l
12345.9037852,13.9067268,2.1477029,l
12348.9144966,27.2429314,2.1707833,l
12375.8469802,3.8974433,2.1707833,l
12389.7609938,-16.4987106,2.0535769,l
12449.7228994,0.9779631,2.1547058,l
12738.8763844,-9.414114,2.0059001,l
13021.02246,6.1500001,2.6700001,l
13080.91602,-16.6700001,2.53,l
13131.74219,3.0799999,2.52,l
13132.76562,1.08,2.6800001,l
13361.07379,-9.2399998,2.4100001,l
13363.0375286,-15.881237,1.8477262,l
13387.02639,20.5499992,4.1799998,l
13389.03598,-14.8800001,2.6700001,l
13403.00424,0.53,2.5699999,l
13404.03527,-9.9799995,2.6800001,l
13405.02799,-17.8099995,2.5799999,l
13406.03868,-12.3400002,2.52,l
13406.984653,7.2992887,2.1122167,l
13437.94522,-23.9899998,2.9799998,l
13438.91641,-20.2199993,3.0199997,l
13439.92598,-13.2399998,2.8699999,l
13440.82903,-7.4699998,2.76,l
13441.91557,-17.6499996,3.0199997,l
13460.87891,10.6999998,2.8900001,l
13475.76162,-7.27,3.1700001,l
13476.74582,-7.9899998,2.6700001,l
13477.76478,-5.3299999,2.73,l
13478.79067,-4.1100001,2.8499999,l
13479.80524,-27.6700001,2.9200001,l
13501.78572,6.2399998,2.5799999,l
13512.74255,10.9200001,2.55,l
13523.73428,-7.4000001,2.76,l
13540.73711,7.8499999,3.4200001,l
13541.74737,17.9300003,2.99,l
13745.06285,-5.2800002,2.5599999,l
13756.07561,-20.0200005,2.9300001,l
13868.75583,-19.8600006,2.4000001,l
14102.0916,-5.7600002,2.51,l
14104.09045,-14.0100002,2.6800001,l
14134.01869,-6.0999999,2.6800001,l
14135.9219343,-1.6906368,1.1443437,l
14165.95045,-5.6199999,2.9699998,l
14548.86601,6.9200001,2.7500002,l
14606.75491,-11.6599998,2.26,l
14609.8577,-2.3099999,2.71,l
14612.79668,-1.9299999,2.78,l
14865.0376443,9.6361322,3.537277,l

