# star HD number, 134083
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
6957.8269,691.789978,177.5700073,p
7048.6652,-22.7800007,154.0,p
7224.97001247,-130.7721863,88.3199692,p
7374.7695,-224.7100067,158.0299988,p
7393.7481,53.0600014,164.6799927,p
7579.0671,-12.9300003,229.519989,p
7710.8153,-154.3500061,169.6900024,p
7920.0669,-163.5200043,226.3000031,p
7965.0365,48.6399994,231.6399994,p
8017.9,-29.1499996,171.1999969,p
8114.75446935,-27.8458233,110.5836029,p
8376.9023,235.9900055,178.7599945,p
8437.8514,338.0499878,156.0700073,p
8746.8469498,200.629303,147.7376404,p
8780.82487533,326.6473083,105.7262268,p
8845.7119,-141.9900055,145.2400055,p
8907.6044,0.0,188.6299896,p
9066.93980896,-15.3713274,133.1472015,p
9114.9106,-131.8800049,197.6800079,p
9174.76408256,-134.3056335,52.8941193,p
9412.0633,-113.5899963,200.2399902,p
9481.7942,-138.3300018,214.7799988,p
9767.0741,138.9499969,111.25,l
9801.98290689,-16.4802437,28.9411297,l
9872.77907069,123.7308807,30.9554234,l
10073.0957,-68.9499969,41.4700012,l
10125.0493148,157.5499573,25.3545322,l
10173.967947,493.7660217,23.1562347,l
10199.958683,-155.0444336,32.0999222,l
10200.8921566,-171.0162354,30.4110947,l
10201.923378,82.9255524,33.176506,l
10202.8749171,-229.9529877,29.2564354,l
10203.8709039,-27.3987484,31.0490494,l
10263.71777,-179.6300049,41.0999985,l
10613.81543,153.2299957,57.4799995,l
10656.73633,19.8400002,50.7799988,l
12796.770523,401.8622437,30.4332619,l
13117.8824877,121.2358475,29.2679596,l
13131.86231,214.8600006,46.3899994,l
13437.0424825,32.0678177,31.6281357,l
13460.9764478,437.7233887,32.7991867,l
14136.0410509,18.5510883,36.7264366,l
14219.8576368,121.4029846,29.5813141,l
14548.98617,374.769989,40.3499985,l
14606.8270987,351.5754089,29.9543705,l

