# star HD number, 69897
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7049.0318,-14.8400002,19.3600006,p
7194.82398,-25.2700005,10.8900003,p
7223.7556,-15.4700003,10.04,p
7577.8145,0.0,17.4200001,p
7919.884,10.8199997,19.5799999,p
7964.7172,-19.9099998,19.2900009,p
8200.0097,4.7600002,18.7000008,p
8375.6574,47.6100006,19.5100002,p
8646.85132,-42.6100006,11.3199997,p
8648.8734,-30.6299992,15.6800003,p
8670.7448,-23.9300003,15.3000011,p
8907.0592,4.0900002,16.9500008,p
8934.03903,-39.4399986,14.4299994,p
8934.98849,10.2600002,13.9300003,p
8991.9505,-42.0,16.9500008,p
8992.81252,-16.4899998,10.5200014,p
9068.6843,-38.4000015,13.8699999,p
9113.6698,-12.5500002,18.9300003,p
9299.0372,-0.55,18.7800007,p
9300.04325,-25.4799995,14.0799999,p
9349.8391,17.6200008,13.9300003,p
9411.73281,-7.54,13.9300003,p
9623.0454,-31.5100002,21.0599995,p
9676.0522,6.7800002,7.98,l
9680.94922,-0.12,3.5799997,l
9766.80144,11.3800001,4.6199999,l
9767.73731,0.62,4.2199998,l
9768.80859,2.3,4.9400001,l
9793.78906,8.5299997,3.3,l
9802.67777,8.25,3.2899997,l
10014.0,19.6399994,6.9400001,l
10032.01517,2.71,3.23,l
10046.99687,14.3999996,3.0700002,l
10087.86621,-3.05,3.5999999,l
10090.88379,6.52,3.2499998,l
10120.82568,3.45,3.3199999,l
10437.91797,4.9099998,3.5000002,l
10503.74121,-11.0699997,3.8099997,l
11133.01953,-5.3499999,5.5100002,l
13033.82422,-3.5799999,4.3600001,l
13048.80058,7.6100001,3.6500001,l
13068.73828,21.0300007,3.9300003,l
13108.68359,4.0799999,3.9100001,l
13118.68268,2.8099999,2.9000001,l
13337.90039,7.0999999,3.9100001,l
13338.93848,5.2199998,4.71,l
13360.91784,-8.9200001,3.8599999,l
13362.88556,-7.0900002,3.8,l
13363.88256,-5.5500002,3.6900001,l
13384.83293,9.6199999,2.6500001,l
13387.8108,12.1800003,2.76,l
13388.79918,-4.8800001,3.1600001,l
13390.89503,-16.8700008,3.0700002,l
13402.85197,8.4200001,3.1099999,l
13437.74866,12.7600002,3.2,l
13441.76393,9.0200005,3.1099999,l
13744.80008,-8.6599998,3.47,l
13752.85554,3.3800001,3.53,l
13755.8608,-21.2099991,3.6099999,l
13756.82534,-10.3400002,3.3999999,l
13843.8201,4.25,4.5900002,l
14050.07652,-25.0400009,3.8499999,l
14072.9878,4.0799999,3.51,l
14073.94777,-5.5900002,3.4900002,l
14426.01047,-3.99,2.9200001,l
14427.99447,-3.1099999,3.3199999,l
14578.6829,0.99,3.79,l
14783.96248,-4.8200002,3.9300003,l
14847.88526,4.8099999,3.0700002,l

