# star HD number, 34411
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7048.9512,15.0799999237,9.54,p
7194.75292,1.46000003815,7.9699998,p
7224.63479,8.53999996185,5.6599998,p
7577.78802,8.06000041962,5.4000001,p
7847.0303,3.90000009537,8.6499996,p
7918.759,25.3400001526,12.6099987,p
7964.67343,12.5,7.1599994,p
8199.99353,25.5799999237,5.3000002,p
8200.99374,12.6499996185,3.8799999,p
8646.76342,8.97000026703,5.1399999,p
8670.68075,9.85999965668,7.48,p
8907.93941,22.6399993896,5.98,p
8935.9652,19.2399997711,7.0000005,p
8992.76108,14.1400003433,6.46,p
9298.95329,28.7299995422,5.8099999,p
9349.74169,4.09000015259,7.9099998,p
9622.914,33.2000007629,14.9300003,p
9766.67847,8.61999988556,2.9799998,l
9793.65723,-7.86000013351,2.3499999,l
10011.99023,6.44000005722,2.3199999,l
10031.91113,13.3299999237,2.5799999,l
10046.86901,5.21000003815,2.4300001,l
10068.82334,3.50999999046,1.9800001,l
10087.75586,7.59999990463,2.22,l
10091.75684,7.25,2.1600001,l
10145.61328,-3.78999996185,1.87,l
10150.69911,-0.019999999553,1.85,l
10152.70063,1.85000002384,2.8900001,l
10325.97754,4.19999980927,1.99,l
10328.02148,6.48999977112,1.97,l
10421.84503,2.52999997139,1.66,l
10437.88086,-0.819999992847,2.05,l
10502.71582,-3.43000006676,2.2,l
10503.67871,2.58999991417,2.4800003,l
10504.73438,2.08999991417,2.0599999,l
10537.71108,12.6700000763,1.6700001,l
10550.66837,3.44000005722,2.0999999,l
10682.02051,7.03999996185,2.05,l
10793.83203,0.889999985695,2.4800003,l
10794.81348,-1.60000002384,2.3099999,l
10854.71326,1.65999996662,2.1900001,l
11046.02734,15.1300001144,3.3199999,l
11047.01201,16.3600006104,1.85,l
11048.01807,9.18000030518,1.9500002,l
11048.99427,9.18999958038,1.46,l
11049.99523,8.09000015259,1.36,l
11069.98961,9.18999958038,1.7199999,l
11074.98151,1.33000004292,1.53,l
11075.97529,3.70000004768,1.42,l
11100.9636,11.1499996185,1.38,l
11130.94441,9.14000034332,1.8300002,l
11131.88181,16.6399993896,1.9200001,l
11132.90125,17.0300006866,2.03,l
11133.91814,12.25,2.5699999,l
11152.88477,12.8400001526,3.1099999,l
11154.8291,1.39999997616,4.5700002,l
11173.87168,-3.68000006676,2.25,l
11174.83519,-4.36000013351,2.5699999,l
11175.86483,-0.610000014305,2.3199999,l
11206.78946,12.3400001526,2.3800001,l
11212.73016,8.80000019073,2.4200001,l
11213.73577,11.0699996948,2.1700001,l
11440.02637,4.05000019073,2.6500001,l
11445.04204,2.94000005722,2.0599999,l
11447.04201,9.88000011444,1.4,l
11447.99609,6.19999980927,3.73,l
11453.95795,5.73000001907,1.27,l
11454.98975,2.03999996185,2.4000001,l
11468.93731,8.18000030518,2.0,l
11496.89798,9.39000034332,2.1800001,l
11536.82172,-4.36999988556,2.03,l
11539.79116,1.13999998569,1.7299999,l
11628.61992,3.11999988556,2.0,l
11629.6416,13.7100000381,2.5799999,l
11804.0332,8.11999988556,2.77,l
11806.03027,7.98999977112,2.53,l
11808.00977,14.3800001144,2.78,l
11814.97773,6.90000009537,1.8099998,l
11816.9759,6.69000005722,1.96,l
11822.97575,6.28000020981,1.76,l
11823.98164,12.2899999619,1.8099998,l
11825.00195,11.029999733,2.5,l
11825.94907,2.33999991417,1.8599999,l
11826.94911,5.05999994278,2.1099999,l
11830.95986,8.93999958038,1.7299999,l
11831.95014,5.84999990463,1.9399999,l
11837.04503,8.76000022888,2.0799999,l
11841.93945,13.0,2.7500002,l
11854.0,8.02999973297,3.3099999,l
11854.97949,4.88000011444,3.7,l
11855.98242,3.55999994278,3.8400002,l
11856.85059,6.05999994278,2.9100001,l
11859.9259,2.77999997139,2.0899999,l
11860.93386,8.26000022888,2.0,l
11865.97752,8.28999996185,2.49,l
11866.89941,-1.04999995232,3.1600001,l
11869.86328,8.57999992371,3.1900003,l
11873.93867,-0.990000009537,2.26,l
11879.84216,5.19000005722,2.7,l
11880.89692,4.03999996185,2.4200001,l
11891.78516,-2.88000011444,4.0100002,l
11894.875,6.96999979019,3.1199999,l
11895.76562,1.08000004292,2.9300001,l
11896.84375,6.51000022888,3.6199996,l
11897.80176,-2.84999990463,3.3699999,l
11898.012269,-7.72508676671,1.3976955,k
11898.81836,-1.99000000954,2.8599999,l
11907.78931,2.48000001907,1.97,l
11909.82227,5.07999992371,2.8399999,l
11913.76856,7.84000015259,3.0199997,l
11914.78343,3.54999995232,2.0699999,l
11915.72359,4.82999992371,2.1400001,l
11916.75684,1.42999994755,2.8699999,l
11927.73707,2.74000000954,2.0999999,l
11929.70996,0.75,3.2,l
11930.75781,-8.13000011444,3.8,l
11932.7793,8.96000003815,3.3400002,l
11946.72168,6.44999980927,2.5599999,l
12129.138426,-1.79371317052,1.3543946,k
12134.137905,-3.06710489416,1.3938674,k
12160.02129,9.93999958038,1.76,l
12161.9941,6.05000019073,1.85,l
12172.02341,11.8400001526,1.9800001,l
12173.02023,14.3299999237,2.0999999,l
12174.02816,12.2700004578,2.0999999,l
12181.03504,12.4499998093,2.3499999,l
12182.02443,13.5100002289,2.0,l
12183.01068,9.53999996185,1.61,l
12184.02402,7.73000001907,1.58,l
12185.02682,13.8000001907,1.7800001,l
12189.03865,5.90999984741,2.01,l
12201.04394,15.1700000763,2.71,l
12204.98898,11.4899997711,2.5799999,l
12209.01855,-17.3400001526,1.27,l
12215.97791,0.119999997318,2.1500001,l
12216.98474,3.21000003815,1.7299999,l
12219.95229,2.17000007629,2.1099999,l
12232.89145,5.44000005722,1.6700001,l
12241.77078,-9.18000030518,1.91,l
12282.72244,-3.66000008583,3.6199996,l
12286.77989,6.67999982834,2.6600001,l
12306.73465,8.47000026703,1.96,l
12336.60938,-16.6000003815,4.02,l
12337.60547,10.9799995422,3.7499998,l
12536.139109,-6.42853220128,1.4575511,k
12575.92818,-0.589999973774,1.99,l
12598.93077,-4.34000015259,1.47,l
12599.88574,-4.51999998093,2.9799998,l
12600.86821,-6.86999988556,1.16,l
12606.87384,-19.6299991608,1.4899999,l
12608.90039,0.769999980927,3.1099999,l
12609.01853,-11.75,1.88,l
12611.82806,-4.75,1.36,l
12631.79751,-12.6999998093,1.52,l
12656.80989,-17.6100006104,1.41,l
12657.75001,-16.8899993896,1.58,l
12658.87145,-16.1399993896,1.65,l
12659.84569,-14.5,1.3200002,l
12705.6815,-9.90999984741,1.6700001,l
12706.67415,-22.3500003815,1.22,l
12711.758588,-8.95359476232,1.5317024,k
12712.797338,-0.467426854604,1.2516209,k
12722.67546,-6.63999986649,1.6299999,l
12738.68219,-15.3999996185,1.48,l
12890.00621,-2.93000006676,1.7199999,l
12899.087569,-1.99195535802,1.6128749,k
12911.01881,-9.02000045776,1.6199999,l
12922.01721,-3.82999992371,1.22,l
12926.98227,-7.30999994278,1.16,l
12937.98887,-12.7100000381,1.0599999,l
12939.02425,-8.64999961853,1.27,l
12968.97318,-12.0,1.34,l
12987.848472,-0.342381078237,1.2345707,k
12990.83594,-19.7399997711,2.2,l
12991.81206,-18.9699993134,1.52,l
