# star HD number, 72905
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
12573.118634,54.5594783623,2.5748718,k
12576.096169,-49.0240749519,2.0946615,k
12601.02985,13.6291347344,2.6366332,k
12988.033495,-22.3428348701,2.5582283,k
13369.926181,16.7472757524,2.0923054,j
13425.897801,-19.6113848492,2.6909032,j
13778.023866,-31.8188490074,2.241096,j
14778.136111,31.5644070715,2.3879855,j
15173.173879,23.2493084101,2.2535503,j
15189.096064,-20.7545854738,2.3494654,j
15197.189677,-25.8013473876,2.3663335,j
15559.992865,18.3352797558,3.0394104,j
15871.158341,-60.4386239751,2.7141333,j
16203.153486,12.7317300366,2.6223834,j
16208.157411,-42.0094354996,2.1110537,j
16585.143577,90.6233431599,2.6905093,j

