# star HD number, 149661
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
8374.9512,-15.9700003,11.8100004,p
8437.8838,27.2700005,9.1899996,p
8789.9539,23.2000008,9.8800001,p
8845.7275,7.4299998,8.9300003,p
8906.6064,-4.2199998,8.6300001,p
9114.9375,-5.3699999,10.9699993,p
9124.85722,-4.5483913,7.9499121,p
9171.7623,12.9700003,9.8800001,p
9174.80262803,-1.1033238,3.043597,p
9200.7181,33.7000008,11.8000002,p
9469.9392,-7.98,12.6400003,p
9481.8694,13.6199999,14.4100008,p
9602.68224884,16.0983505,7.8591666,p
9622.6141,8.5100002,7.8099995,p
9857.87227161,13.5343752,2.4140446,l
9894.81522618,0.0590338,1.5275481,l
9914.81152,2.21,2.1700001,l
10181.93945,-3.0699999,1.88,l
10203.9165654,-6.155705,2.4833009,l
10299.72168,-0.73,2.25,l
10504.0522875,-3.3484788,1.9815406,l
10601.969653,2.2074461,1.0473354,k
10602.926053,0.8350296,1.1482913,k
10603.88647,-4.6610913,1.253453,k
10604.811215,-1.0731548,1.1864448,k
10605.871887,-2.4117537,1.1995673,k
10606.90522,-2.434649,1.2332035,k
10607.782454,0.8369131,1.1784551,k
10610.82422,-0.01,1.9399999,l
10614.79199,4.4699998,2.0799999,l
10640.76269,-3.6500001,2.54,l
10655.73535,0.47,2.1099999,l
10893.05004,-13.8599997,2.6700001,l
10979.82324,-10.4099998,4.6300001,l
11005.80273,-12.8599997,3.0700002,l
11044.74121,-0.07,3.6199996,l
11243.03223,-5.3200002,3.0599999,l
11303.92676,27.1499996,2.5999997,l
11304.88281,15.6000004,2.4000001,l
11305.84863,16.75,2.73,l
11311.032419,0.476387,1.1280386,k
11311.951701,4.3797259,1.2304767,k
11313.014155,-5.4380894,1.2881465,k
11314.079699,-11.0200205,1.2475832,k
11352.78809,6.77,3.0,l
11353.72363,1.59,3.3400002,l
11367.808958,16.8064823,1.1858845,k
11368.780127,12.5070066,1.3111738,k
11369.846412,2.6625328,1.2229081,k
11370.891748,-4.0543299,1.084462,k
11371.762731,-6.5059557,1.1013798,k
11372.779942,-3.1260409,1.1322097,k
11373.778449,0.241173,1.2544855,k
11402.7082855,6.510839,2.3564126,l
11411.773831,11.5388966,1.207189,k
11581.15559,5.9357433,1.3328859,k
11627.99316,20.6299992,2.7500002,l
11679.032014,4.1843815,1.2442101,k
11752.70703,6.6900001,3.4900002,l
12000.03613,4.02,3.52,l
12003.0993994,19.302702,1.0284739,k
12095.943854,-12.9904585,1.3296305,k
12121.73731,13.5799999,3.1000001,l
12390.959421,-3.5822015,1.4553931,k
12488.838356,7.6762161,1.629912,k
12712.107153,-10.3761415,1.4173303,k
12777.900486,0.9443378,1.3550906,k
12803.920729,1.3267064,1.3740935,k
12804.955822,-3.8023767,1.27351,k
12812.7830675,-15.4123831,1.691031,l
12833.737083,-8.7922192,1.4408195,k
12845.7023576,19.001133,2.8264575,l
12845.8381927,19.5070343,2.5368352,l
13080.0355903,-1.3766886,1.8902621,l
13103.03223,6.8299999,2.72,l
13118.9206993,-11.6109829,3.0995955,l
13131.91406,-4.3099999,2.5599999,l
13147.86621,-6.29,3.0,l
13153.927303,-4.9578438,1.3744626,k
13162.8316292,-7.7164211,1.8550973,l
13210.81152,0.74,2.1900001,l
13211.74609,-2.8599999,2.0999999,l
13212.77148,-8.3699999,2.0799999,l
13302.7018542,3.0537262,0.7987606,j
13426.169525,22.150795,1.4612883,j
13474.99034,0.0,3.2399998,l
13476.93292,1.51,2.7500002,l
13479.99263,5.1199999,3.1400003,l
13480.066852,11.3162241,1.1848201,j
13482.93329,15.7200003,2.45,l
13511.83637,10.7799997,2.3599999,l
13512.83998,10.0600004,2.54,l
13523.83909,6.21,2.72,l
13541.85546,-2.8900001,3.97,l
13553.77601,7.5100002,2.8900001,l
13554.76044,5.8499999,3.1099999,l
13556.7624,7.48,3.0,l
13561.76917,3.3699999,3.1400003,l
13569.72198,-4.77,3.1500001,l
13570.71014,-9.29,3.5899997,l
13774.08177,-5.0700002,3.03,l
13866.77715,-3.3900001,2.3699999,l
13867.81219,-0.46,2.45,l
13867.91383,7.0900002,2.7500002,l
13868.8506,-15.4899998,2.1700001,l
13965.74997,11.3800001,3.3,l
14220.93798,-9.6700001,2.6700001,l
14311.71028,-10.8599997,2.52,l
14549.04493,-21.5,2.25,l
14578.91243,-15.0299997,2.1600001,l
14599.8814623,-5.8486233,1.9502316,l
14613.8585,-8.0,3.4900002,l
14622.8773646,-31.3496037,1.5167317,l
14866.090251,2.7089367,2.310164,l
15312.93885,-10.4399996,2.1500001,l

