# star HD number, 19994
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
7047.9159,-51.5600014,19.2000008,p
7048.9027,-71.5299988,11.1199999,p
7393.9734,-81.3099976,14.4499998,p
7430.94038,-50.9000015,7.8899994,p
7794.9039,15.6099997,14.4700003,p
7845.7579,-38.2900009,16.3799992,p
8199.8429,-72.0800018,17.8600006,p
8645.7991,-102.1200027,14.4499998,p
8848.0085,-102.9899979,13.8499994,p
8893.01171,-51.5200005,7.9499993,p
8906.9108,-100.6100006,12.8300009,p
8992.7295,-107.2300034,13.3699999,p
9255.9642,-27.5900002,12.1400003,p
9306.88142,-43.2599983,10.8400002,p
9349.70413,-76.5,9.8999996,p
9622.898,-25.1399994,10.6099987,p
9767.6089,-35.9900017,9.9499998,l
10011.90835,-43.1699982,3.3600001,l
10031.86133,-36.0,5.3000002,l
10087.73144,-30.8400002,5.0,l
10325.87793,-67.4100037,4.3400002,l
10441.83496,-24.9200001,4.5799999,l
11132.84082,-12.9899998,7.2399993,l
11805.99316,-12.9700003,4.5999999,l
11806.9668,-11.9099998,5.9399996,l
11807.94043,2.0899999,4.8800001,l
11811.91211,-12.1800003,4.7199998,l
11824.94043,10.3299999,4.8800001,l
11866.80762,10.3199997,5.1999993,l
11869.83642,-1.58,4.0999999,l
11876.80957,24.8299999,5.5700002,l
11881.78516,10.8000002,4.6799998,l
12122.01074,-30.8199997,4.5,l
12184.91504,-28.2800007,5.3299994,l
12195.95019,-27.3400002,4.4200001,l
12201.93848,9.5600004,4.6700001,l
12218.87617,-8.0200005,3.8299997,l
12256.74902,-19.2099991,5.4299998,l
12267.67481,-6.5700002,3.8299997,l
12292.72178,4.9699998,3.5000002,l
12293.69601,-9.1300001,3.4200001,l
12316.68831,10.1999998,3.0799999,l
12494.01465,6.1799998,3.6900001,l
12509.01854,-4.1599998,2.6700001,l
12509.91699,10.9899998,3.9300003,l
12515.00846,-24.7399998,2.8599999,l
12517.01133,-41.4300003,3.45,l
12523.02066,3.3800001,3.73,l
12525.01353,-23.4899998,3.1199999,l
12535.95117,-20.0799999,3.6099999,l
12574.89619,12.3999996,3.79,l
12577.87388,-15.5600004,3.4300001,l
12598.80526,-10.0900002,2.77,l
12606.81119,-19.0100002,2.8099999,l
12608.80625,8.8400002,2.24,l
12893.98144,23.0200005,3.5899997,l
12898.02637,-10.8699999,3.3900001,l
12990.76465,0.31,3.9200001,l
12991.7334,-3.01,3.8199999,l
13010.78125,8.6400003,3.5600002,l
13018.73926,3.8699999,4.0799999,l
13048.66854,-14.8699999,4.1599998,l
13069.65137,-7.9299998,4.4000001,l
13246.01465,28.6299992,4.52,l
13250.98926,38.7099991,4.2800002,l
13252.00519,26.8899994,2.8099999,l
13260.01403,18.6299992,3.3400002,l
13264.01658,11.29,3.47,l
13274.95789,43.4399986,3.3799999,l
13280.97559,30.5900002,4.1900001,l
13281.95606,37.1500015,4.1700001,l
13312.82818,45.1399994,3.48,l
13315.83397,45.9799995,3.53,l
13340.76844,43.0200005,2.8800001,l
13391.69349,37.5600014,2.6500001,l
13636.95974,0.56,2.4400001,l
13744.69821,41.3100014,2.51,l
13773.67021,27.2199993,3.3400002,l
13774.61938,29.2800007,3.0899999,l
13988.02671,-5.5900002,3.9400001,l
13988.86262,2.6400001,3.1700001,l
13989.94865,-1.67,2.51,l
14071.86996,4.2199998,3.77,l
14072.78667,-7.9499998,3.9600003,l
14073.73714,-5.4899998,3.9600003,l
14337.96077,31.2000008,2.6200001,l
14373.95653,8.1899996,3.7499998,l
14425.80477,1.64,2.8499999,l
14783.76858,48.2400017,4.2399998,l
14785.86887,46.4099998,3.1800001,l
14845.6943,33.5,3.54,l
14848.72935,18.6900005,3.3900001,l
14849.70951,-0.95,3.4399998,l
14863.66578,33.7400017,5.2199998,l
15171.84115,77.3300018,5.6199999,l
15439.00142,20.8700008,4.5,l
15844.94579,-0.08,5.25,l
15846.84583,44.6300011,4.5599999,l

