# star HD number, 131156
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
9770.10314509,-149.728713989,2.1171825,l
9858.78996446,-86.8040847778,1.9672627,l
10181.86133,-120.25,2.3399999,l
10201.8739713,-68.1564483643,2.5216749,l
10656.71875,-107.769996643,3.8799999,l
10978.80176,-70.2099990845,3.8799999,l
12041.8672231,-29.0685443878,2.2116809,l
12375.9003074,16.5221843719,2.1995664,l
12451.76562,-0.379999995232,3.8299997,l
13078.91797,93.0100021362,2.4800003,l
13155.82422,0.0,2.6800001,l
13437.0082943,73.9580230713,1.9231744,l
13440.9830275,70.4518127441,1.9688259,l
13474.9233117,81.0093154907,2.0949695,l
13478.888977,57.0061035156,1.9813083,l
14868.138576,-32.7868022989,1.6974305,j
14934.929625,-41.2418134582,1.4404684,j
15190.171964,-47.5978610019,1.2419124,j
15995.044935,41.7600059666,1.3776699,j
16847.85081,76.6753025179,1.4333773,j

